State,StateID,ItemLabels,GenItemLabel,Classification,Date,Amount
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/02/2019,39.70588235
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/03/2019,40.65217391
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/04/2019,39.41176471
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/05/2019,40.47619048
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/06/2019,39.21052632
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/07/2019,39.89473684
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/08/2019,40.55
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/01/2017,416.6971429
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/02/2017,418.1005
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/03/2017,395.1702207
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/04/2017,358.9621707
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/05/2017,388.7643158
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/06/2017,412.5266297
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/07/2017,424.5615028
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/08/2017,488.1273684
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/09/2017,484.8739496
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/10/2017,480.76208
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/11/2017,472.7933333
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/12/2017,417.5553423
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/01/2018,417.5553423
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/02/2018,420.498512
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/03/2018,455.4731474
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/04/2018,461.7142239
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/05/2018,400
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/06/2018,457.5503232
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/07/2018,495.8956938
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/08/2018,467.7570206
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/09/2018,498.7434046
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/10/2018,494.2264753
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/11/2018,466.092504
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/12/2018,468.1212121
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/01/2019,467.4545455
Lagos,25,"Beans brown,sold loose",Brown Beans (loose),Food Item,01/02/2019,393.3769063
